playerid,first,last,email,gender,secretary,active,createdate,lastupdate,
,Carlo,Sellers,Carlo.Sellers@gmail.com,M,TRUE,TRUE,,
,Romeo,Delacruz,Romeo.Delacruz@gmail.com,M,FALSE,TRUE,,
,Elias,Page,Elias.Page@gmail.com,M,FALSE,TRUE,,
,Zavier,Mcfarland,Zavier.Mcfarland@gmail.com,M,FALSE,TRUE,,
,Prince,Benson,Prince.Benson@gmail.com,M,FALSE,TRUE,,
,Enzo,Ho,Enzo.Ho@gmail.com,M,FALSE,TRUE,,
,Tyson,Hatfield,Tyson.Hatfield@gmail.com,M,FALSE,TRUE,,
,Jaime,Mitchell,Jaime.Mitchell@gmail.com,M,FALSE,TRUE,,
,Julius,English,Julius.English@gmail.com,M,FALSE,TRUE,,
,Dayton,Love,Dayton.Love@gmail.com,M,FALSE,TRUE,,
,Ignacio,Watkins,Ignacio.Watkins@gmail.com,M,FALSE,TRUE,,
,Ibrahim,Armstrong,Ibrahim.Armstrong@gmail.com,M,FALSE,TRUE,,
,Tyrell,Golden,Tyrell.Golden@gmail.com,M,FALSE,TRUE,,
,Marc,Galvan,Marc.Galvan@gmail.com,M,FALSE,TRUE,,
,Kevin,Rich,Kevin.Rich@gmail.com,M,FALSE,TRUE,,
,Carmelo,Greene,Carmelo.Greene@gmail.com,M,FALSE,TRUE,,
,Aditya,Mcclain,Aditya.Mcclain@gmail.com,M,FALSE,TRUE,,
,Jayden,Schultz,Jayden.Schultz@gmail.com,M,FALSE,TRUE,,
,Nathanael,Bates,Nathanael.Bates@gmail.com,M,FALSE,TRUE,,
,Zion,Mckee,Zion.Mckee@gmail.com,M,FALSE,TRUE,,
,Philip,Fowler,Philip.Fowler@gmail.com,M,FALSE,TRUE,,
,Nelson,Camacho,Nelson.Camacho@gmail.com,M,FALSE,TRUE,,
,Kobe,Collier,Kobe.Collier@gmail.com,M,FALSE,TRUE,,
,Ari,Michael,Ari.Michael@gmail.com,M,FALSE,TRUE,,
,Edwin,Lyons,Edwin.Lyons@gmail.com,M,FALSE,TRUE,,
,Turner,Horne,Turner.Horne@gmail.com,M,FALSE,TRUE,,
,Peter,York,Peter.York@gmail.com,M,FALSE,TRUE,,
,Dax,Curtis,Dax.Curtis@gmail.com,M,FALSE,TRUE,,
,Bradyn,Greer,Bradyn.Greer@gmail.com,M,FALSE,TRUE,,
,Rene,Rojas,Rene.Rojas@gmail.com,M,FALSE,TRUE,,
,Tomas,Madden,Tomas.Madden@gmail.com,M,FALSE,TRUE,,
,Eduardo,Escobar,Eduardo.Escobar@gmail.com,M,FALSE,TRUE,,
,Craig,Shelton,Craig.Shelton@gmail.com,M,FALSE,TRUE,,
,Addison,Arias,Addison.Arias@gmail.com,M,FALSE,TRUE,,
,Jude,Taylor,Jude.Taylor@gmail.com,M,FALSE,TRUE,,
,Marley,Goodman,Marley.Goodman@gmail.com,M,FALSE,TRUE,,
,Camryn,Stevens,Camryn.Stevens@gmail.com,M,FALSE,TRUE,,
,Dominik,Henson,Dominik.Henson@gmail.com,M,FALSE,TRUE,,
,Louis,Hardin,Louis.Hardin@gmail.com,M,FALSE,TRUE,,
,Michael,Glenn,Michael.Glenn@gmail.com,M,FALSE,TRUE,,
,Layton,Cain,Layton.Cain@gmail.com,M,FALSE,TRUE,,
,Jaydan,Newton,Jaydan.Newton@gmail.com,M,FALSE,TRUE,,
,Cory,Christensen,Cory.Christensen@gmail.com,M,FALSE,TRUE,,
,Jamari,Robles,Jamari.Robles@gmail.com,M,FALSE,TRUE,,
,Makai,Guerra,Makai.Guerra@gmail.com,M,FALSE,TRUE,,
,Jeffrey,Schmidt,Jeffrey.Schmidt@gmail.com,M,FALSE,TRUE,,
,Sean,Norman,Sean.Norman@gmail.com,M,FALSE,TRUE,,
,Valentin,Holmes,Valentin.Holmes@gmail.com,M,FALSE,TRUE,,
,Ray,Hull,Ray.Hull@gmail.com,M,FALSE,TRUE,,
,Oswaldo,Ramos,Oswaldo.Ramos@gmail.com,M,FALSE,TRUE,,
,Parker,Green,Parker.Green@gmail.com,M,FALSE,TRUE,,
,Beckham,Anderson,Beckham.Anderson@gmail.com,M,FALSE,TRUE,,
,Reynaldo,Ortega,Reynaldo.Ortega@gmail.com,M,FALSE,TRUE,,
,Braedon,Schroeder,Braedon.Schroeder@gmail.com,M,FALSE,TRUE,,
,Clark,Mora,Clark.Mora@gmail.com,M,FALSE,TRUE,,
,Camron,Campos,Camron.Campos@gmail.com,M,FALSE,TRUE,,
,Myles,Hanson,Myles.Hanson@gmail.com,M,FALSE,TRUE,,
,Houston,Booker,Houston.Booker@gmail.com,M,FALSE,TRUE,,
,Zaiden,Cohen,Zaiden.Cohen@gmail.com,M,FALSE,TRUE,,
,Douglas,Sanford,Douglas.Sanford@gmail.com,M,FALSE,TRUE,,
,Willie,Cooley,Willie.Cooley@gmail.com,M,FALSE,TRUE,,
,Morgan,Scott,Morgan.Scott@gmail.com,M,FALSE,TRUE,,
,Raphael,Rivers,Raphael.Rivers@gmail.com,M,FALSE,TRUE,,
,Reuben,Wiggins,Reuben.Wiggins@gmail.com,M,FALSE,TRUE,,
,Emmett,Huff,Emmett.Huff@gmail.com,M,FALSE,TRUE,,
,Marques,Ewing,Marques.Ewing@gmail.com,M,FALSE,TRUE,,
,Derrick,Mccoy,Derrick.Mccoy@gmail.com,M,FALSE,TRUE,,
,Gianni,Wagner,Gianni.Wagner@gmail.com,M,FALSE,TRUE,,
,Sincere,Friedman,Sincere.Friedman@gmail.com,M,FALSE,TRUE,,
,Jadyn,Benson,Jadyn.Benson@gmail.com,M,FALSE,TRUE,,
,Chance,Raymond,Chance.Raymond@gmail.com,M,FALSE,TRUE,,
,Damian,Strong,Damian.Strong@gmail.com,M,FALSE,TRUE,,
,Boston,Castro,Boston.Castro@gmail.com,M,FALSE,TRUE,,
,Kasen,Reyes,Kasen.Reyes@gmail.com,M,FALSE,TRUE,,
